,unnamed: 0,case_number,date,date_revised,season,year,case,type,country,country_revised,continent,area,location,activity,name,sex,age,injury,fatal,time,species ,investigator or source,href_formula,objectid,location_georeferenced_lon,location_georeferenced_lat,location_georeferenced_result,country_captalized,month,season_code
10,10,2016.07.20,20-Jul-16,7/20/16,summer,2016,1,Provoked,AUSTRALIA,AUSTRALIA,Oceania,Queensland,"20 k off The Spit, off the Gold Coast",Fishing,Scott van Burck,male,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,non-fatal,After noon,"reef shark, 1m","Nine News, 7/20/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-Burck.pdf,m_11,153.42856,-28.00195,matched,Australia,7,3
11,11,2016.07.17,17-Jul-16,7/17/16,summer,2016,1,Boating,USA,USA,North America,Alabama,8 miles off Mobile,Fishing in Alabama Deep Fishing Rodeo,Occupant: Ben Raines,unknown,unknown,"No injury, shark bit trolling motor",non-fatal,unknown,"Tiger shark, 10'","Al.com, 7/19/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf,m_12,-86.95904699,33.60612201,matched,USA,7,3
12,12,2016.07.16.b,16-Jul-16,7/16/16,summer,2016,1,Unprovoked,USA,USA,North America,Florida,"New Smyrna Beach, Volusia County",Surfing,female,female,9,Minor injury to leg,non-fatal,1300,unknown,"Orlando Sentinel, 7/21/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf,m_13,-80.92303,29.02716,matched,USA,7,3
13,13,2016.07.16.a,16-Jul-16,7/16/16,summer,2016,1,Unprovoked,USA,USA,North America,Florida,"New Smyrna Beach, Volusia County",unknown,female,female,11,Minor injury to toes,non-fatal,11h00,unknown,"Orlando Sentinel, 7/21/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf,m_14,-80.92303,29.02716,matched,USA,7,3
14,14,2016.07.15.b,15-Jul-16,7/15/16,summer,2016,1,Unprovoked,USA,USA,North America,California,"Surfside, Orange County",Kite surfing,Lee Frees,male,61,"No injury, board damaged",non-fatal,17h00,"White shark, 10' to 12'","R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.15.b-Frees.pdf,m_15,-117.7605953,33.70322218,matched,USA,7,3
15,15,2016.07.15.a,15-Jul-16,7/15/16,summer,2016,1,Unprovoked,USA,USA,North America,South Carolina,"North Myrtle Beach, Horry County",Swimming,male,male,unknown,Puncture wounds to foot,non-fatal,unknown,unknown,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.15.a-MyrtleBeach.pdf,m_16,-78.6849,33.82766,matched,USA,7,3
16,16,2016.07.08.R,Reported 08-Jul-2016,7/8/16,summer,2016,1,Unprovoked,SPAIN,SPAIN,Europe,Canary Islands,"Las Teresitas, Tenerife",Wading,female,female,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",non-fatal,unknown,Angel shark,La Opinion de Tenerife,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf,m_17,-16.25462,28.46824,matched,Spain,7,3
17,17,2016.07.08,8-Jul-16,7/8/16,summer,2016,1,Boating,USA,USA,North America,California,"Capitola, Santa Cruz County",Fishing for squid,Mark Davis,male,unknown,"No injury. Hull bitten, tooth fragment recovered",non-fatal,unknown,White shark,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf,m_18,-122.001609,37.0562358,matched,USA,7,3
18,18,2016.07.07.b,7-Jul-16,7/7/16,summer,2016,1,Provoked,USA,USA,North America,Massachusetts,"Off Gloucester, Essec County",Fishing,Roger Brissom,male,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,non-fatal,10h00,dogfish shark,Salem News 7/8/2016,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf,m_19,-70.66811,42.61435,matched,USA,7,3
19,19,2016.07.07.a,7-Jul-16,7/7/16,summer,2016,1,Boating,USA,USA,North America,California,"Off Palos Verdes peninsula, Los Angeles County",Fishing for sharks,24' boat Shark Tagger Occupant Keith Poe,male,unknown,"No injury. Hull bitten, tooth fragment recovered",non-fatal,unknown,White shark,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf,m_20,-118.38398,33.80178,matched,USA,7,3
20,20,2016.07.06,6-Jul-16,7/6/16,summer,2016,1,Unprovoked,USA,USA,North America,Florida,"Melbourne Beach, Brevard County",Swimming,female,female,42,"Buttocks, thigh, left hand & wrist injured",non-fatal,14h30 / 15h30,unknown,"Florida Today, 7/6/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf,m_21,-80.56534,28.06839,matched,USA,7,3
21,21,2016.07.04,4-Jul-16,7/4/16,summer,2016,1,Provoked,AUSTRALIA,AUSTRALIA,Oceania,Queensland,Palm Cove ,Fishing,Nathan Oliver,male,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,non-fatal,22h00,Tawny nurse shark,"Cairns Post, 7/9/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf,m_22,145.67105,-16.74487,matched,Australia,7,3
22,22,2016.06.27,27-Jun-16,6/27/16,summer,2016,1,Unprovoked,USA,USA,North America,South Carolina,Sullivan's Island,unknown,male,male,35,Minor injury,non-fatal,16h20,3' to 4' shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf,m_23,-79.8357,32.76393,matched,USA,6,3
23,23,2016.06.25,25-Jun-16,6/25/16,summer,2016,1,Unprovoked,USA,USA,North America,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Surfing,male,male,11,Foot injured,non-fatal,14h34,unknown,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf,m_24,-76.66536332,34.83797334,matched,USA,6,3
24,24,2016.06.24,24-Jun-16,6/24/16,summer,2016,1,Unprovoked,COLUMBIA,COLUMBIA,South America,Isla Provedencia,unknown,Scuba Diving,Arturo Velez,male,59,Severe bite to right hand,non-fatal,11h00,"Caribbean reef shark, 4.5'",Dr. A. Velez,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf,m_25,-77.5968,1.2388,matched,Colombia,6,3
25,25,2016.06.23,23-Jun-16,6/23/16,summer,2016,1,Unprovoked,SOUTH AFRICA,SOUTH AFRICA,Africa,Western Cape Province,Ryspunt,Spearfishing,Rene Nel,male,43,Injuries to left leg & right hand,non-fatal,unknown,White shark,"News 24, 6/23/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Nel.pdf,m_26,20.32919,-34.60931,matched,South Africa,6,3
26,26,2016.06.21.b,21-Jun-16,6/21/16,summer,2016,1,Unprovoked,USA,USA,North America,South Carolina,"North Myrtle Beach, Horry County",Floating,Jeff Schott,male,42,Lacerations and punctures to foot,non-fatal,15h25,3' to 5' shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf,m_27,-78.6849,33.82766,matched,USA,6,3
27,27,2016.06.21.a,21-Jun-16,6/21/16,summer,2016,1,Unprovoked,USA,USA,North America,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Wading,male,male,unknown,Injuries to right calf,non-fatal,14h55,unknown,"Florida Today, 6/22/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf,m_28,-80.73235645,28.29348389,matched,USA,6,3
28,28,2016.06.15.b,15-Jun-16,6/15/16,summer,2016,1,Unprovoked,USA,USA,North America,Hawaii,"Kalapaki Beach, Kauai",Surfing,male,male,unknown,Single puncture wound to arm,non-fatal,06h00,3' to 4' shark,"West Hawaii Today, 6/16/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf,m_29,-159.3526,21.96045,matched,USA,6,3
29,29,2016.06.15.a,15-Jun-16,6/15/16,summer,2016,1,Provoked,AUSTRALIA,AUSTRALIA,Oceania,Western Australia,Coral Bay,Spearfishing,Brad Vale,male,19,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,non-fatal,unknown,5' shark,"Perth Now, 6/16/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf,m_30,113.77289,-23.14349,matched,Australia,6,3
30,30,2016.06.14,14-Jun-16,6/14/16,summer,2016,1,Unprovoked,USA,USA,North America,Texas,"Pirates Beach, Galveston",Floating in tube,Marin Alice Melton,female,6,Injury to lower leg,non-fatal,17h30,3' to 4' shark,"Click2Houston, 6/14/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf,m_31,-94.94018,29.20542,matched,USA,6,3
31,31,2016.06.11,11-Jun-16,6/11/16,summer,2016,1,Unprovoked,USA,USA,North America,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Standing,Dillon Bowen,male,19,Laceration to wrist,non-fatal,15h00,3' shark,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf,m_32,-76.66536332,34.83797334,matched,USA,6,3
32,32,2016.06.07,7-Jun-16,6/7/16,summer,2016,1,Invalid,USA,USA,North America,South Carolina,"Folly Beach, Charleston County",Surfing,Jack O'Neill,male,27,"No injury, board damaged",unknown,11h30,Said to involve an 8' shark but more likely damage caused by debris,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf,m_33,-79.95863215,32.83276221,matched,USA,6,3
33,33,2016.06.05.b,5-Jun-16,6/5/16,summer,2016,1,Unprovoked,USA,USA,North America,Florida,"Flagler Beach, Flagler County",Swimming,male,male,64,Leg bitten,non-fatal,08h30,unknown,"Daytona Beach News-Journal, 6/5/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf,m_34,-80.89744,29.03857,matched,USA,6,3
34,34,2016.06.05.a,5-Jun-16,6/5/16,summer,2016,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,Western Australia,Mindarie,Diving,Doreen Collyer,female,60,FATAL,fatal,11h30,3+ m shark,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf,m_35,115.71404,-31.68369,matched,Australia,6,3
35,35,2016.06.04,4-Jun-16,6/4/16,summer,2016,1,Unprovoked,EGYPT,EGYPT,Africa,Suez,Ain Sokhna,Swimming,Omar Abdel Qader,male,23,"Leg severely bitten, surgically amputated",non-fatal,Morning,Mako shark,"Ahram Online, 6/4/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf,m_36,32.33721,29.67491,matched,Egypt,6,3
36,36,2016.06.02.b,2-Jun-16,6/2/16,summer,2016,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,New South Wales,Kingscliff,Spearfishing,Waade Madigan and Dr Seyong Kim ,male,unknown,"No injury, but sharks repeatedly hit their fins and guns",unknown,unknown,Bronze whaler sharks x 3,"Gold Coast Bulletin, 6/4/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-Matigan.pdf,m_37,153.57563,-28.25565,matched,Australia,6,3
37,37,2016.05.31,31-May-16,5/31/16,spring,2016,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,Western Australia,"Falcon Beach, Mandurah",Surfing,Ben Gerring,male,29,FATAL,fatal,16h00,White shark,"Perth Now, 5/31/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf,m_38,115.72272,-32.52099,matched,Australia,5,2
38,38,2016.05.29.b,29-May-16,5/29/16,spring,2016,1,Unprovoked,USA,USA,North America,California,"Corona Del Mar, Newport, Orange County",Swimming,                        Maria Korcsmaros ,female,52,Injuries to arm and shoulder,non-fatal,16h00,unknown,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf,m_39,-117.86996,33.59552,matched,USA,5,2
39,39,2016.05.29.a,29-May-16,5/29/16,spring,2016,1,Unprovoked,USA,USA,North America,Florida,"Neptune, Duval County",Swimming,male,male,13,Injury to posterior right leg,non-fatal,15h45,5' shark,"News4Jax, 5/29/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf,m_40,-81.67196611,30.33107429,matched,USA,5,2
40,40,2016.05.22,22-May-16,5/22/16,spring,2016,1,Unprovoked,USA,USA,North America,Florida,"Vero Beach, Indian River County",Swimming,Mary Marcus,female,57,Puncture wounds to thigh,non-fatal,12h00,unknown,"Florida Today, 5/22/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf,m_41,-80.454795,27.735048,matched,USA,5,2
41,41,2016.05.21.b,21-May-16,5/21/16,spring,2016,1,Unprovoked,USA,USA,North America,Florida,"St. Petersburg, Pinellas County",Swimming,Krystal Magee,female,22,Lacerations and puncture wounds to foot and ankle,non-fatal,18h00,"Bull shark, 4' to 5'","ABC Action News, 6/15/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf,m_42,-82.72194032,27.93133795,matched,USA,5,2
42,42,2016.05.21.a,21-May-16,5/21/16,spring,2016,1,Unprovoked,USA,USA,North America,Florida,"Hugenot Beach , Jacksonville, Duval County",Swimming,female,female,11,"Back, arm & hand injured",non-fatal,17h46,unknown,"Action News Jax, 5/23/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.a-Girl.pdf,m_43,-81.39186,30.28899,matched,USA,5,2
43,43,2016.05.18,18-May-16,5/18/16,spring,2016,1,Unprovoked,USA,USA,North America,Florida,"Ponte Vedra, St. Johns County",Swimming,Mark Wilson,male,48,Ankle bitten,non-fatal,Morning ,"Blacktip shark, 4'","News4Jax, 5/19/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf,m_44,-81.38598,30.22496,matched,USA,5,2
44,44,2016.05.15,15-May-16,5/15/16,spring,2016,1,Provoked,USA,USA,North America,Florida,"Boca Raton, Palm Beach County",Teasing a shark,female,female,23,Arm grabbed PROVOKED INCIDENT,non-fatal,13h20,"Nurse shark, 2'","CBS News, 5/16/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf,m_45,-80.43002413,26.62404756,matched,USA,5,2
45,45,2016.05.03,3-May-16,5/3/16,spring,2016,1,Unprovoked,USA,USA,North America,Hawaii,"Wailea Beach, Maui",Floating,male,male,59,Minor lacerations to right shoulder,non-fatal,15h49,unknown,"Maui Now, 5/3/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf,m_46,-156.439568,20.685026,matched,USA,5,2
46,46,2016.04.25,25-Apr-16,4/25/16,spring,2016,1,Unprovoked,INDONESIA,INDONESIA,Asia,Bali,Balian,Surfing,Ryan Boarman,male,24,Elbow bitten,non-fatal,07h00,"Bull shark, 6'","News.com.au, 4/26/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf,m_47,115.20336,-8.10613,matched,Indonesia,4,2
47,47,2016.04.23,23-Apr-16,4/23/16,spring,2016,1,Unprovoked,USA,USA,North America,Florida,"New Smyrna Beach, Volusia County",Surfing,Kelton Beardall,male,15,Minor injury to left foot,non-fatal,17h30,unknown,"News4Jax, 4/23/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf,m_48,-80.92303,29.02716,matched,USA,4,2
48,48,2016.04.22,22-Apr-16,4/22/16,spring,2016,1,Unprovoked,SOUTH AFRICA,SOUTH AFRICA,Africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",Surf-skiing,Dave Manson,male,unknown,"No injury, surf-ski bitten",non-fatal,08h00,White shark,"Knysna-Plett Herald, 4/22/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf,m_49,23.3789,-34.06174,matched,South Africa,4,2
49,49,2016.04.19,19-Apr-16,4/19/16,spring,2016,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,New South Wales,"First Sun Beach, Byron Bay",Swimming,Zak Kedem,male,12,Minor puncture wound to foot,non-fatal,12h00,Wobbegong shark,"Gold Coast Bulletin, 4/19/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf,m_50,153.57906,-28.63505,matched,Australia,4,2
50,50,2016.04.13,13-Apr-16,4/13/16,spring,2016,1,Unprovoked,USA,USA,North America,Florida,"Off Singer Island, Palm Beach County",Spearfishing,Kyle Senkowicz,male,26,Multiple bites to right arm,non-fatal,unknown,"Bull shark, 7'","Palm Beach Post, 4/13/2016",http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf,m_51,-80.43002413,26.62404756,matched,USA,4,2
51,51,2016.04.07.b,7-Apr-16,4/7/16,spring,2016,1,Unprovoked,USA,USA,North America,Florida,"Florida Keys, Monroe County",Fishing,Jonathan Lester,male,34,Left hand bitten,non-fatal,unknown,5' to 6' shark,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf,m_52,-81.04854333,25.42570711,matched,USA,4,2
52,52,2016.04.07.a,7-Apr-16,4/7/16,spring,2016,1,Invalid,USA,USA,North America,Florida,"Corners Beach, Jupiter, Palm Beach County",SUP,Maximo Trinidad,male,unknown,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,unknown,unknown,unknown,YouTube,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf,m_53,-80.133557,26.935021,matched,USA,4,2
53,53,2017.07.14.a,14-Jul-17,7/14/17,summer,2017,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,Western Australia,Floreat Beach,Surfing,male,male,unknown,"Minor injury, grazed by shark",non-fatal,11h45,unknown,unknown,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.07.14.a-Floreat.pdf,m_54,115.7937351,-31.93759496,matched,Australia,7,3
54,54,2017.12.21,21-Dec-17,12/21/17,winter,2017,1,Provoked,MALAYSIA,MALAYSIA,Asia,Sepang,Bagan Lalang Beach,Fishing / Wading,Sairol  Harun,male,24,"Minor injury to thigh, PROVOKED INCIDENT",non-fatal,unknown,Juvenile nurse shark,TrackingSharks.com,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf,m_55,101.68343,2.59991,matched,Malaysia,1,1
55,55,2017.02.06.a,6-Feb-17,2/6/17,winter,2017,1,Boating,SOUTH AFRICA,SOUTH AFRICA,Africa,KwaZulu-Natal,Eastmoor Crescent Beach,Kayak fishing,Murray Van Wyk,male,unknown,"Shark damaged kayak, no injury to occupant",non-fatal,unknown,Tiger shark,"The Citizen, 2/8/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.06.a-Umhlanga-kayak.pdf,m_56,31.07823617,-29.74239536,matched,South Africa,2,1
56,56,2017.02.01.b,1-Feb-17,2/1/17,winter,2017,1,Boating,USA,USA,North America,South Carolina,16 miles off Hilton Head,Tagging sharks,Chip Michelove & crew,unknown,unknown,"Shark bit boat, no injury to occupants",non-fatal,unknown,"White shark, female, 14'","YouTube, 2/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.b-Boat.pdf,m_57,-80.75261,32.21632,matched,USA,2,1
57,57,2017.02.01.a,1-Feb-17,2/1/17,winter,2017,1,Unprovoked,BAHAMAS,BAHAMAS,North America,Bimini,unknown,Scuba Diving,Freek Vonk,male,37,Lacerations to upper right arm,non-fatal,unknown,Caribbean reef shark,"Dutch News, 2/2/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.02.01.a-Vonk.pdf,m_58,-79.272985,25.70184823,matched,Bahamas,2,1
58,58,2017.01.24,24-Jan-17,1/24/17,winter,2017,1,Unprovoked,BRAZIL,BRAZIL,South America,Pernambuco,"Boa Viagem, Recife",Swimming,Arthur Andrade,male,21,Minor laceration to ring finger,non-fatal,13h20,unknown,"K. McMurray, Tracking Sharks",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.24-Andrade.pdf,m_59,-34.88333,-8.11667,matched,Brazil,1,1
59,59,2017.01.22,22-Jan-17,1/22/17,winter,2017,1,Unprovoked,USA,USA,North America,Florida,"Vero Beach, Indian River County",unknown,male,male,Teen,Puncture wounds to lower arm or hand,non-fatal,14h00,unknown,"TCPalm, 1/22/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.22-VeroBeach.pdf,m_60,-80.454795,27.735048,matched,USA,1,1
60,60,2017.01.21,21-Jan-17,1/21/17,winter,2017,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,Queensland,"Boot Reef, Torres Strait",Scuba Diving,Craig de Wit,male,55,"Multiple injuries to arm, wrist and torso",non-fatal,12h00,"Bull shark, 4 m","ABC, 1/21/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.21-MurrayIsland.pdf,m_61,142.2887915,-9.561085903,matched,Australia,1,1
61,61,2017.01.13.b,13-Jan-17,1/13/17,winter,2017,1,Unprovoked,AUSTRALIA,AUSTRALIA,Oceania,Queensland,Clairview,Swimming,unknown,male,57,Injury to hand,non-fatal,13h30,unknown,"Brisbane Times,1/13/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.b-Clairview.pdf,m_62,149.48394,-22.04115,matched,Australia,1,1
62,62,2017.01.13.a,13-Jan-17,1/13/17,winter,2017,1,Unprovoked,USA,USA,North America,Florida,Jensen Beach,unknown,a lifeguard,male,unknown,Minor injury to hand,non-fatal,Morning,unknown,WPTV. 1/13/2017,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.a-JensenBeach.pdf,m_63,-80.23329,27.26078,matched,USA,1,1
63,63,2017.01.09,9-Jan-17,1/9/17,winter,2017,1,Unprovoked,INDONESIA,INDONESIA,Asia,Bali,Balian Beach,Surfing,Daniel Moore,male,48,Injury to right wrist & forearm,non-fatal,07h30,"Bull shark, 1 m","Daily Mail, 1/11/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.09-Moore.pdf,m_64,114.96592,-8.50325,matched,Indonesia,1,1
64,64,2017.01.08.R,Reported 08-Jan-2017,1/8/17,winter,unknown,1,Invalid,AUSTRALIA,AUSTRALIA,Oceania,Queensland,unknown,Spearfishing,Kerry Daniel,male,35,"No attack, shark made a threat display",unknown,unknown,Bull shark,Liquid Vision 1/8/2017,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.08.R-KerryDaniel.pdf,m_65,144.5490845,-22.56535127,matched,Australia,1,1
65,65,2017.01.05,5-Jan-17,1/5/17,winter,2017,1,Unprovoked,USA,USA,North America,Florida,"Blockhouse Beach, Brevard County",Wading,male,male,47,Minor injuries to foot,non-fatal,12h30,unknown,"Florida Today, 1/5/2017",http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.05-Brevard.pdf,m_66,-80.73235645,28.29348389,matched,USA,1,1
